company_name,city,category,rating,website,phone,employees
Company52 Solutions,Noida,IT Services,4.7,www.company52.in,9883895908,209
Company53 Solutions,Mumbai,Analytics Firm,4.1,www.company53.in,9815064853,188
Company54 Solutions,Noida,Software Company,4.0,www.company54.in,9868489701,152
Company55 Solutions,Gurgaon,Advertising Agency,4.8,www.company55.in,9844784630,99
Company56 Solutions,Bangalore,Web Development,3.8,www.company56.in,9836736490,88
Company57 Solutions,Mumbai,Analytics Firm,3.9,www.company57.in,9881122129,163
Company58 Solutions,Mumbai,IT Services,4.8,www.company58.in,9851529802,131
Company59 Solutions,Pune,Web Development,4.1,www.company59.in,9862786721,228
Company60 Solutions,Gurgaon,Web Development,4.4,www.company60.in,9841162476,34
Company61 Solutions,Pune,SEO Agency,4.4,www.company61.in,9887599088,202
Company62 Solutions,Gurgaon,Cloud Services,4.8,www.company62.in,9844410939,95
Company63 Solutions,Delhi,IT Services,4.9,www.company63.in,9843642516,190
Company64 Solutions,Pune,SEO Agency,4.1,www.company64.in,9898212670,208
Company65 Solutions,Noida,Cloud Services,4.7,www.company65.in,9883609679,97
Company66 Solutions,Mumbai,Web Development,4.3,www.company66.in,9827274308,120
Company67 Solutions,Hyderabad,Cloud Services,3.9,www.company67.in,9882648582,18
Company68 Solutions,Chennai,Digital Marketing,4.1,www.company68.in,9823032163,121
Company69 Solutions,Noida,Analytics Firm,3.9,www.company69.in,9858948461,205
Company70 Solutions,Pune,Software Company,4.0,www.company70.in,9839049267,224
Company71 Solutions,Delhi,Digital Marketing,4.5,www.company71.in,9821036662,192
Company72 Solutions,Pune,SEO Agency,4.6,www.company72.in,9842323014,126
Company73 Solutions,Mumbai,IT Services,3.9,www.company73.in,9854099294,113
Company74 Solutions,Bangalore,SEO Agency,4.6,www.company74.in,9810362313,225
Company75 Solutions,Chennai,Cloud Services,4.2,www.company75.in,9871579313,57
Company76 Solutions,Hyderabad,Analytics Firm,4.3,www.company76.in,9821900928,237
Company77 Solutions,Delhi,Analytics Firm,4.1,www.company77.in,9838909395,228
Company78 Solutions,Hyderabad,IT Services,4.3,www.company78.in,9825047354,77
Company79 Solutions,Mumbai,Cloud Services,3.9,www.company79.in,9832549366,176
Company80 Solutions,Bangalore,Advertising Agency,4.4,www.company80.in,9845680083,71
Company81 Solutions,Bangalore,Advertising Agency,4.8,www.company81.in,9866427329,191
Company82 Solutions,Pune,Software Company,4.4,www.company82.in,9810402470,21
Company83 Solutions,Chennai,SEO Agency,4.4,www.company83.in,9843925221,23
Company84 Solutions,Gurgaon,Analytics Firm,4.6,www.company84.in,9836423956,205
Company85 Solutions,Delhi,IT Services,4.6,www.company85.in,9831035142,224
Company86 Solutions,Chennai,SEO Agency,4.7,www.company86.in,9832420550,222
Company87 Solutions,Mumbai,Advertising Agency,4.0,www.company87.in,9840857449,202
Company88 Solutions,Mumbai,Web Development,4.6,www.company88.in,9865983867,44
Company89 Solutions,Mumbai,Web Development,4.9,www.company89.in,9842682188,98
Company90 Solutions,Pune,Advertising Agency,4.6,www.company90.in,9825499041,129
Company91 Solutions,Mumbai,Advertising Agency,4.3,www.company91.in,9877506137,200
Company92 Solutions,Mumbai,Analytics Firm,4.6,www.company92.in,9885724934,131
Company93 Solutions,Mumbai,SEO Agency,4.1,www.company93.in,9821639259,90
Company94 Solutions,Pune,IT Services,3.8,www.company94.in,9847980210,223
Company95 Solutions,Gurgaon,Advertising Agency,4.9,www.company95.in,9843721846,92
Company96 Solutions,Delhi,SEO Agency,4.5,www.company96.in,9811106566,207
Company97 Solutions,Bangalore,Advertising Agency,3.8,www.company97.in,9899719320,151
Company98 Solutions,Bangalore,Digital Marketing,4.5,www.company98.in,9884770714,27
Company99 Solutions,Noida,Cloud Services,4.4,www.company99.in,9828674513,16
Company100 Solutions,Noida,Advertising Agency,4.5,www.company100.in,9822858170,152
